year,"last_name, first_name",avg_speed,pitch_type,pitch_type_name
2024,"Boyd, Matthew",92,FF,4-Seam Fastball
2024,"Blanco, Ronel",80.1,CU,Curveball
2024,"Paddack, Chris",85.9,SL,Slider
2024,"Webb, Jacob",84.3,CH,Changeup
2024,"Rodón, Carlos",81,CU,Curveball
2024,"Knack, Landon",85.1,SL,Slider
2024,"Hudson, Dakota",80.2,CU,Curveball
2024,"Matsui, Yuki",86.6,FS,Split-Finger
2024,"Baz, Shane",87.3,SL,Slider
2024,"Weems, Jordan",87.6,SL,Slider
2024,"Birdsong, Hayden",88.1,CH,Changeup
2024,"Martinez, Justin",89.8,FS,Split-Finger
2024,"Thorpe, Drew",81.6,CH,Changeup
2024,"Peralta, Wandy",88.6,CH,Changeup
2024,"Koenig, Jared",90.3,FC,Cutter
2024,"Buehler, Walker",78,CU,Curveball
2024,"Hill, Tim",90.7,FF,4-Seam Fastball
2024,"Martinez, Justin",89.8,SL,Slider
2024,"Baumann, Mike",92.1,SL,Slider
2024,"Núñez, Dedniel",87.5,SL,Slider
2024,"Birdsong, Hayden",86.4,SL,Slider
2024,"Martin, Davis",93.6,FF,4-Seam Fastball
2024,"Cleavinger, Garrett",87.3,SL,Slider
2024,"Soriano, José",98.8,FF,4-Seam Fastball
2024,"Puk, A.J.",85.5,SL,Slider
2024,"Snider, Collin",82.4,ST,Sweeper
2024,"Holton, Tyler",83.6,CH,Changeup
2024,"Martinez, Nick",80.8,CU,Curveball
2024,"Devenski, Chris",82.8,CH,Changeup
2024,"Treinen, Blake",94.6,SI,Sinker
2024,"Sandoval, Patrick",93.7,SI,Sinker
2024,"Cease, Dylan",82.3,CU,Curveball
2024,"Vest, Will",86.9,SL,Slider
2024,"Thompson, Ryan",79,SL,Slider
2024,"Holmes, Clay",87.1,SL,Slider
2024,"Varland, Louis",90.1,SL,Slider
2024,"Cannon, Jonathan",94.3,FF,4-Seam Fastball
2024,"Sewald, Paul",83.1,ST,Sweeper
2024,"Ferguson, Caleb",89,FC,Cutter
2024,"Minter, A.J.",94.5,FF,4-Seam Fastball
2024,"Spiers, Carson",87.8,FC,Cutter
2024,"Núñez, Dedniel",96.3,FF,4-Seam Fastball
2024,"Cano, Yennier",91,CH,Changeup
2024,"Kremer, Dean",77,CU,Curveball
2024,"Thornton, Trent",89.8,SL,Slider
2024,"Wilson, Steven",93.5,FF,4-Seam Fastball
2024,"Zerpa, Angel",86.1,SL,Slider
2024,"Luzardo, Jesús",86.3,CH,Changeup
2024,"Peralta, Wandy",95.1,SI,Sinker
2024,"Otañez, Michel",85.3,SL,Slider
2024,"Baz, Shane",83.6,CU,Curveball
2024,"Morejon, Adrian",96.9,FF,4-Seam Fastball
2024,"Bednar, David",92,FS,Split-Finger
2024,"Booser, Cam",88.3,FC,Cutter
2024,"Herrin, Tim",95.5,FF,4-Seam Fastball
2024,"Joyce, Ben",102.1,FF,4-Seam Fastball
